epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,675.812,0.86688,0.8015,0.90506,0.79835,0.74328,0.82406,0.57139,1.17021,1.21702,1.00622,0.0004754,0.0004754,0.0004754
79,682.935,0.93333,0.78855,0.89331,0.79835,0.74328,0.82406,0.57139,1.17021,1.21702,1.00622,0.0004556,0.0004556,0.0004556
80,699.749,0.92516,0.85194,0.91306,0.78726,0.72835,0.81193,0.56933,1.14501,1.22786,1.0026,0.0004358,0.0004358,0.0004358
81,710.184,0.91326,0.80406,0.90167,0.78726,0.72835,0.81193,0.56933,1.14501,1.22786,1.0026,0.000416,0.000416,0.000416
82,716.962,1.00047,0.83097,0.92852,0.78726,0.72835,0.81193,0.56933,1.14501,1.22786,1.0026,0.0003962,0.0003962,0.0003962
83,723.568,0.85463,0.79857,0.89714,0.78726,0.72835,0.81193,0.56933,1.14501,1.22786,1.0026,0.0003764,0.0003764,0.0003764
84,730.471,1.01045,0.8142,0.9149,0.78726,0.72835,0.81193,0.56933,1.14501,1.22786,1.0026,0.0003566,0.0003566,0.0003566
85,740.807,0.85796,0.78185,0.95815,0.7996,0.73167,0.81975,0.57423,1.13894,1.19654,1.00168,0.0003368,0.0003368,0.0003368
86,748.758,0.9862,0.8103,0.90685,0.7996,0.73167,0.81975,0.57423,1.13894,1.19654,1.00168,0.000317,0.000317,0.000317
87,754.894,0.93042,0.81566,0.91077,0.7996,0.73167,0.81975,0.57423,1.13894,1.19654,1.00168,0.0002972,0.0002972,0.0002972
88,767.74,1.02325,0.84283,0.91437,0.7996,0.73167,0.81975,0.57423,1.13894,1.19654,1.00168,0.0002774,0.0002774,0.0002774
89,774.525,0.85208,0.79394,0.92393,0.82215,0.73961,0.82663,0.57752,1.14086,1.1379,0.99795,0.0002576,0.0002576,0.0002576
90,781.257,0.89658,0.79265,0.89833,0.82215,0.73961,0.82663,0.57752,1.14086,1.1379,0.99795,0.0002378,0.0002378,0.0002378
91,818.985,0.86969,0.82276,0.90117,0.82215,0.73961,0.82663,0.57752,1.14086,1.1379,0.99795,0.000218,0.000218,0.000218
92,824.735,0.90349,0.73384,0.88063,0.82215,0.73961,0.82663,0.57752,1.14086,1.1379,0.99795,0.0001982,0.0001982,0.0001982
93,830.691,0.90612,0.94395,0.92418,0.82215,0.73961,0.82663,0.57752,1.14086,1.1379,0.99795,0.0001784,0.0001784,0.0001784
94,836.413,0.94043,0.76489,0.9143,0.82648,0.74572,0.84402,0.58625,1.12477,0.94305,0.9841,0.0001586,0.0001586,0.0001586
95,842.357,0.90594,0.76686,0.91059,0.82648,0.74572,0.84402,0.58625,1.12477,0.94305,0.9841,0.0001388,0.0001388,0.0001388
96,848.242,0.88559,0.76552,0.902,0.82648,0.74572,0.84402,0.58625,1.12477,0.94305,0.9841,0.000119,0.000119,0.000119
97,854.202,0.98799,0.81075,0.90676,0.82648,0.74572,0.84402,0.58625,1.12477,0.94305,0.9841,9.92e-05,9.92e-05,9.92e-05
98,860.148,0.92878,0.81236,0.91187,0.82648,0.74572,0.84402,0.58625,1.12477,0.94305,0.9841,7.94e-05,7.94e-05,7.94e-05
99,866.696,0.86743,0.83037,0.88461,0.79663,0.77628,0.84279,0.58347,1.11947,0.89451,0.97883,5.96e-05,5.96e-05,5.96e-05
100,873.738,0.87715,0.75376,0.90759,0.79663,0.77628,0.84279,0.58347,1.11947,0.89451,0.97883,3.98e-05,3.98e-05,3.98e-05
